id,name,startedAt,endedAt,postureStanding ,postureSittingPublic ,postureSittingPrivate ,postureSitting ,postureLying ,genderMale ,genderFemale ,age0To14 ,age15To24 ,age25To64 ,age65Plus ,activityConsuming ,activityPlaying ,activitySleep ,activityCulturallyEngaged ,activityWaitingTransport ,activityCommercial ,activityPet ,activitySubstanceUse ,activityHomelessCamping ,activityPanhandling ,location
SFCC8467,Library Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,1,,,,1,,,,,,,1,,,,,"-122.416, 37.7796"
SFCC8468,Library Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,1,,,,1,,,,,,,,,,,,"-122.416, 37.7796"
SFCC8469,Library Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,1,,,,1,,,,,,,,,,,,"-122.416, 37.7796"
SFCC8470,Library Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,1,,,,1,,,,,,,1,,,,,"-122.416, 37.7796"
SFCC8471,Library Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,1,,,,1,,,,,,,1,,,,,"-122.416, 37.7796"
SFCC8472,Library Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,1,,,,1,,,,,,,,,,,,"-122.416, 37.7796"
SFCC8473,Library Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,1,,,,1,,,,,,,,,,,,"-122.416, 37.7796"
SFCC8474,Library Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,1,,,,1,,,,,,,,,,,,"-122.416, 37.7796"
SFCC8475,Library Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,1,,,,1,,,,,,,,,,,,"-122.416, 37.7796"
SFCC8476,Library Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,1,,,,1,,,,,,,,,,,,"-122.416, 37.7796"
SFCC8477,Library Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,1,,,1,,,1,,,,,,,,,,,,"-122.416, 37.7796"
SFCC8478,Library Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,,1,1,,,,1,,,,,,,,,,1,,"-122.416, 37.7796"
SFCC8479,Library Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,1,,,,1,,,,1,,,,,,,,,,,,"-122.416, 37.7796"
SFCC8480,Library Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,1,,,,1,,,,1,,,,,,,,,,,,"-122.416, 37.7796"
SFCC8481,Library Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,1,,,,1,,,,1,,,,,,,,,,,,"-122.416, 37.7796"
SFCC8482,Library Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,1,,,,1,,,,,,,,,,,,"-122.416, 37.7796"
SFCC8483,Library Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,1,,1,,,,1,,,,,,,,,,,,"-122.416, 37.7796"
