id,name ,locationType ,unitAddress,surveyor ,startedAt ,endedAt ,modePedestrian ,genderMale ,genderFemale ,age15To24 ,age25To64 ,age0To14 ,age65Plus ,congregationPair ,congregationGroup ,postureStanding ,posturePhysicalActivities ,postureSitting ,postureSittingPrivate ,postureSittingPublic ,postureSittingMobile ,postureSittingWheelchair ,postureSittingStroller ,sittingInformal,postureSittingGround ,postureLeaning ,postureLying ,activityCulturallyEngaged ,activityCommercial ,activityCommercialInformal ,activityRunning ,activityPlaying ,activityInformalPlaying ,activityRollerbladingSkateboarding ,activityConsuming ,activityElectronics ,activityConversing,activityWatching,activityIdle,activityWaitingTransport ,activityWaitingCrosswalk,activityPet,activitySubstanceUse ,activityIntoxicated ,activitySleep ,activityPanhandling,activitiesUrinatingDefecating,activityLittering,objectLuggage,objectStroller,objectPushcart,objectPet,parkedBikeRack ,objectEmptyBikeRack ,parkedBikeOther ,parkedBikeRack ,bikeCounterTraffic ,bikeSidewalk ,bikeNoHelmet ,parkedBikeRack ,objectEmptyParklet ,parkedScooter ,parkedCar ,parkedVan,parkedTruck,parkedLoading ,parkedDouble ,objectEmptyParking ,parkedIllegally ,notes
39,FOLSOM1151,block,"1151 Folsom St San Francisco, CA 94103",Justin Panganiban,06/11/14 12:18 PM,06/11/14 12:22 PM,6,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18,0,0,0,2,1,0,
40,FOLSOM1122,parklet,"1122 Folsom St San Francisco, CA 94103",Justin Panganiban,06/11/14 01:39 PM,06/11/14 01:41 PM,28,0,5,0,0,0,1,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Parklet: Brainwash
41,FOLSOM1122,parklet,"1122 Folsom St San Francisco, CA 94103",Justin Panganiban,06/11/14 01:03 PM,06/11/14 01:05 PM,44,4,5,0,0,0,1,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,6,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Parklet: Brainwash
42,FOLSOM1151,block,"1151 Folsom St San Francisco, CA 94103",Justin Panganiban,06/11/14 01:24 PM,06/11/14 01:28 PM,19,5,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,18,0,0,0,0,3,0,
43,FOLSOM1150,block,"1150 Folsom St San Francisco, CA 94103",Justin Panganiban,06/11/14 01:19 PM,06/11/14 01:24 PM,20,3,2,0,0,0,2,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,1,0,9,0,0,0,0,0,3,1,0,0,1,0,0,0,0,23,0,0,0,2,1,0,
44,BALBOA3450,block,"3450 Balboa St San Francisco, CA 94121",Tom Holub,06/11/14 12:21 PM,06/11/14 12:25 PM,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,5,0,
45,BALBOA3451,block,"3451 Balboa St San Francisco, CA 94121",Tom Holub,06/11/14 12:24 PM,06/11/14 12:29 PM,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,
46,BALBOA3434,parklet,"3434 Balboa St San Francisco, CA 94121",Tom Holub,06/11/14 12:39 PM,06/11/14 12:45 PM,11,1,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Parklet: Simple Pleasures Cafe. Most usage was transient (<5 mins). It was cold. Users had dogs or we're smoking. All users seemed to be cafe customers.
47,BALBOA3434,parklet,"3434 Balboa St San Francisco, CA 94121",Tom Holub,06/11/14 12:00 PM,06/11/14 12:05 PM,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Parklet: Simple Pleasures Cafe. Cold, windy"
48,BALBOA3450,block,"3450 Balboa St San Francisco, CA 94121",Tom Holub,06/11/14 01:15 PM,06/11/14 01:19 PM,22,6,5,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,3,0,
