id,name,unitAddress,surveyor ,climate ,temperature,startedAt ,endedAt ,modePedestrian,genderMale ,genderFemale ,age0To14 ,age25To64 ,age15To24 ,age65Plus ,activityRunning ,activityPlaying,activityRollerbladingSkateboarding ,activityConversing ,objectStroller,objectPushcart,notes
1383,VALENCIA351,"351 Valencia St San Francisco, CA 94103",Gene Stroman,sunny,70,06/17/14 05:12 PM,06/17/14 05:22 PM,49,27,22,0,0,0,3,1,0,2,0,0,0,"- Marked bike lane
- Woman jogging counter traffic- Marked bike lane
- Woman jogging counter traffic- Marked bike lane
- Woman jogging counter traffic- Marked bike lane
- Woman jogging counter traffic- Marked bike lane
- Woman jogging counter traffic- Marked bike lane
- Woman jogging counter traffic- Marked bike lane
- Woman jogging counter traffic- Marked bike lane
- Woman jogging counter traffic- Marked bike lane
- Woman jogging counter traffic- Marked bike lane
- Woman jogging counter traffic- Marked bike lane
- Woman jogging counter traffic- Marked bike lane
- Woman jogging counter traffic- Marked bike lane
- Woman jogging counter traffic- Marked bike lane
- Woman jogging counter traffic- Marked bike lane
- Woman jogging counter traffic- Marked bike lane
- Woman jogging counter traffic- Marked bike lane
- Woman jogging counter traffic- Marked bike lane
- Woman jogging counter traffic- Marked bike lane
- Woman jogging counter traffic- Marked bike lane
- Woman jogging counter traffic- Marked bike lane
- Woman jogging counter traffic- Marked bike lane
- Woman jogging counter traffic- Marked bike lane
- Woman jogging counter traffic- Marked bike lane
- Woman jogging counter traffic- Marked bike lane
- Woman jogging counter traffic- Marked bike lane
- Woman jogging counter traffic- Marked bike lane
- Woman jogging counter traffic- Marked bike lane
- Woman jogging counter traffic- Marked bike lane
- Woman jogging counter traffic- Marked bike lane
- Woman jogging counter traffic- Marked bike lane
- Woman jogging counter traffic- Marked bike lane
- Woman jogging counter traffic- Marked bike lane
- Woman jogging counter traffic"
1384,VALENCIA350,"350 Valencia St San Francisco, CA 94103",Gene Stroman,sunny,72,06/17/14 05:34 PM,06/17/14 05:44 PM,42,24,18,0,3,0,2,0,0,2,0,0,0,- Shaded side of street
1385,VALENCIA351,"351 Valencia St San Francisco, CA 94103",Gene Stroman,sunny,72,06/17/14 06:05 PM,06/17/14 06:15 PM,50,26,24,0,1,0,1,2,0,0,0,0,0,
1386,VALENCIA350,"350 Valencia St San Francisco, CA 94103",Gene Stroman,sunny,70,06/17/14 06:29 PM,06/17/14 06:39 PM,54,35,19,0,2,0,5,1,0,1,1,0,0,
1387,FOLSOM1150,"1150 Folsom St San Francisco, CA 94103",Justin Panganiban,sunny,61,06/21/14 12:02 PM,06/21/14 12:12 PM,25,16,9,0,0,0,0,1,0,0,0,0,0,
1388,FOLSOM1151,"1151 Folsom St San Francisco, CA 94103",Justin Panganiban,sunny,61,06/21/14 12:13 PM,06/21/14 12:23 PM,18,10,8,0,0,0,0,1,0,0,0,0,0,
1389,FOLSOM1150,"1150 Folsom St San Francisco, CA 94103",Justin Panganiban,sunny,61,06/21/14 01:01 PM,06/21/14 01:11 PM,16,12,4,0,0,0,3,0,0,0,0,0,0,
1390,FOLSOM1151,"1151 Folsom St San Francisco, CA 94103",Justin Panganiban,sunny,61,06/21/14 01:12 PM,06/21/14 01:22 PM,24,17,7,0,0,0,1,1,0,0,0,0,0,
1391,MISSION4750,4750 Mission St,Sara Ameri,sunny,,06/18/14 05:10 PM,06/18/14 05:15 PM,15,8,7,0,2,0,0,0,0,0,0,0,0,
1392,MISSION4751,4751 Mission St,Sara Ameri,sunny,,06/18/14 05:05 PM,06/18/14 05:10 PM,32,16,16,0,12,0,0,0,0,0,0,0,0,
1393,MISSION4751,4751 Mission St,Sara Ameri,sunny,,06/18/14 06:10 PM,06/18/14 06:15 PM,17,8,9,0,1,0,0,0,0,0,0,0,0,
1394,MISSION4750,4750 Mission St,Sara Ameri,sunny,,06/18/14 06:05 PM,06/18/14 06:10 PM,10,5,5,0,2,0,0,0,0,0,0,0,0,
1395,FOLSOM1150,"1150 Folsom St San Francisco, CA 94103",Justin Panganiban,sunny,61,06/21/14 06:02 PM,06/21/14 06:12 PM,14,8,6,0,0,0,1,0,0,0,0,0,0,
1396,FOLSOM1151,"1151 Folsom St San Francisco, CA 94103",Justin Panganiban,sunny,61,06/21/14 06:13 PM,06/21/14 06:23 PM,15,12,3,0,1,0,2,2,0,0,1,0,0,
1397,FOLSOM1150,"1150 Folsom St San Francisco, CA 94103",Justin Panganiban,sunny,61,06/21/14 05:02 PM,06/21/14 05:12 PM,42,25,17,0,2,0,3,0,0,0,0,0,0,
1398,FOLSOM1151,"1151 Folsom St San Francisco, CA 94103",Justin Panganiban,sunny,61,06/21/14 05:13 PM,06/21/14 05:23 PM,24,18,6,0,0,0,0,0,0,0,0,0,0,
1399,JEFFERSON251,"251 Jefferson St San Francisco, CA 94133",Mahsa Kassai,sunny,66,06/18/14 08:30 AM,06/18/14 08:40 AM,40,25,15,0,2,0,3,2,0,0,0,0,0,
1400,JEFFERSON250,"250 Jefferson St San Francisco, CA 94133",Mahsa Kassai,sunny,66,06/18/14 08:41 AM,06/18/14 08:51 AM,58,34,24,0,2,0,7,13,0,0,0,0,0,
1401,JEFFERSON250,"250 Jefferson St San Francisco, CA 94133",Mahsa Kassai,sunny,66,06/18/14 09:54 AM,06/18/14 10:04 AM,88,47,41,0,9,0,19,0,0,1,0,0,0,
1402,JEFFERSON251,"251 Jefferson St San Francisco, CA 94133",Mahsa Kassai,sunny,66,06/18/14 09:43 AM,06/18/14 09:53 AM,72,38,34,0,6,0,4,0,0,0,0,0,0,
1403,JEFFERSON250,"250 Jefferson St San Francisco, CA 94133",Mahsa Kassai,sunny,66,06/18/14 10:46 AM,06/18/14 10:56 AM,157,75,82,0,17,0,24,3,0,0,0,0,0,
1404,JEFFERSON251,"251 Jefferson St San Francisco, CA 94133",Mahsa Kassai,sunny,66,06/18/14 10:35 AM,06/18/14 10:45 AM,88,39,49,0,11,0,13,0,0,0,0,0,0,
