id,name,notes,location,startedAt,endedAt,modePedestrian
SFMove74,Grove at Civic Center Plaza (south side),"4Dii; 8 am: 2S; 9am: 1W; 11am: 2S;  4PM:-6PM: 0W, 0S; 7PM: 2W, 0S","-122.417414188385, 37.7785251459678",06/07/17 12:00 PM,06/07/17 12:10 PM,1
SFMove75,Larkin at Grove,"1-2: 1S 4PM: 0W, 1S; 5PM: 0W, 0S; 6PM: 1W, 0S; 7PM: 1W, 0S","-122.416521012783, 37.7784244470171",06/07/17 12:00 PM,06/07/17 12:10 PM,1
SFMove76,Grove at Civic Center Plaza (south side),"4Dii; 8 am: 2S; 9am: 1W; 11am: 2S;  4PM:-6PM: 0W, 0S; 7PM: 2W, 0S","-122.417414188385, 37.7785251459678",06/07/17 10:00 AM,06/07/17 10:10 AM,1
SFMove77,Larkin at Grove,"1-2: 1S 4PM: 0W, 1S; 5PM: 0W, 0S; 6PM: 1W, 0S; 7PM: 1W, 0S","-122.416521012783, 37.7784244470171",06/07/17 10:00 AM,06/07/17 10:10 AM,1
SFMove78,UN Plaza Street,"8am: W & S not recorded due to volune; 9am: 2W, 5S; 10am: 2W, 7S; 11am: 1W, 16S; 12-1:4w,5s; 1-2:4w,2s; 2-3:4w,9s; 3-4:1w,1s; 4PM: 2W, 0S; 5PM: 3W, 3S; 6PM: 3W, 0S; 7PM: 2W, 2S","-122.414434254169, 37.7798946380547",09/22/17 07:00 PM,09/22/17 07:10 PM,1
SFMove79,Civic Center crossing at Fulton Street,"8am-9am: 0W, 0S; 10am: 0W, 4S; 11am: 0W, 1S (general observation: most ped traffic on north side, large groups come in cycles w/tour groups and/or signal phases; when tere wasn't tour group activity (hours 11-12pm), most ppl used southside crosswalk; 12pm: 0W, 3S; 1pm: 1W, 1S; 2pm: 0W, 1S; 3pm: 0W, 1S (tour bus at 3pm) ","-122.41684153676, 37.7795787666528",05/27/17 01:00 PM,05/27/17 01:10 PM,1
SFMove80,Memorial Court,"8AM: 0W, 1S. 9AM: 0W, 0S mostly commuters or walking dogs. 10AM-12PM: 0W, 0S 12PM: 0W, 1S 1PM: 0W, 0S 2PM: 1W, 0S 3PM: 0W, 1S 4PM: 0W, 2S 5PM: 0W, 0S 6PM: 1W, 0S 7PM: 0W, 0S","-122.420607358217, 37.7791134370415",05/25/17 10:00 AM,05/25/17 10:10 AM,1
SFMove81,Memorial Court,"8AM: 0W, 1S. 9AM: 0W, 0S mostly commuters or walking dogs. 10AM-12PM: 0W, 0S 12PM: 0W, 1S 1PM: 0W, 0S 2PM: 1W, 0S 3PM: 0W, 1S 4PM: 0W, 2S 5PM: 0W, 0S 6PM: 1W, 0S 7PM: 0W, 0S","-122.420607358217, 37.7791134370415",05/25/17 02:00 PM,05/25/17 02:10 PM,1
SFMove82,Mcallister at Van Ness,"8AM: 0W, 1S. 9AM-12PM: 0W, 0S. 12PM: 1W, 0S 1PM: 0W, 0S 2PM: 0W, 1S, one bike on sidewalk. 3PM: 0W, 1S 4PM: 1W, 0S 5PM: 0W, 1S 6PM: 0W, 0S 7PM: 0W, 0S","-122.42080181837, 37.7800716527685",05/25/17 10:00 AM,05/25/17 10:10 AM,1
SFMove83,Mcallister at Van Ness,"8AM: 0W, 1S. 9AM-12PM: 0W, 0S. 12PM: 1W, 0S 1PM: 0W, 0S 2PM: 0W, 1S, one bike on sidewalk. 3PM: 0W, 1S 4PM: 1W, 0S 5PM: 0W, 1S 6PM: 0W, 0S 7PM: 0W, 0S","-122.42080181837, 37.7800716527685",05/25/17 07:00 PM,05/25/17 07:10 PM,1
